epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2319.15,1.09524,1.30818,1.30184,0.66824,0.55549,0.58622,0.29074,1.6749,1.43426,1.63188,0.000114647,0.000114647,0.000114647
2,4638.76,1.18337,1.34062,1.332,0.74066,0.57968,0.64931,0.31205,1.71098,1.34454,1.65504,0.00021828,0.00021828,0.00021828
3,6883.65,1.14872,1.25048,1.30488,0.76622,0.61693,0.67303,0.3331,1.67007,1.26466,1.63516,0.000310527,0.000310527,0.000310527
4,9007.86,1.12551,1.19513,1.28707,0.74763,0.60823,0.66102,0.34089,1.63542,1.25672,1.56087,0.000293768,0.000293768,0.000293768
5,11248.2,1.10345,1.12279,1.27217,0.79574,0.64758,0.72093,0.35346,1.69192,1.09644,1.62216,0.00027669,0.00027669,0.00027669
6,14195.6,1.07793,1.07114,1.24929,0.83255,0.63076,0.71508,0.3632,1.57167,1.06692,1.54937,0.000259612,0.000259612,0.000259612
7,17322.4,1.05538,1.02152,1.23121,0.81831,0.65535,0.7177,0.38331,1.55391,1.05194,1.52782,0.000242535,0.000242535,0.000242535
8,20211.8,1.01485,0.97494,1.21592,0.80129,0.66793,0.73038,0.36952,1.59102,1.01389,1.55206,0.000225457,0.000225457,0.000225457
9,22306.4,1.01449,0.94052,1.20383,0.82296,0.67229,0.74346,0.40436,1.5276,0.96527,1.49196,0.00020838,0.00020838,0.00020838
10,25751.5,0.9947,0.90671,1.1885,0.85246,0.69922,0.76612,0.3951,1.55435,0.94001,1.52421,0.000191303,0.000191303,0.000191303
11,27739.5,1.0116,0.80672,1.1958,0.84349,0.67492,0.76731,0.40189,1.48456,0.93798,1.46968,0.000174225,0.000174225,0.000174225
12,29825.2,0.98394,0.76624,1.17484,0.82015,0.70928,0.76326,0.42096,1.40796,0.91857,1.43382,0.000157147,0.000157147,0.000157147
13,31883.1,0.96165,0.73105,1.16194,0.83314,0.70209,0.76808,0.43759,1.37164,0.89797,1.39743,0.00014007,0.00014007,0.00014007
14,33933.8,0.9381,0.70105,1.14045,0.83763,0.72418,0.79326,0.45621,1.30516,0.83672,1.38282,0.000122992,0.000122992,0.000122992
15,35982.8,0.92388,0.68385,1.13816,0.88765,0.71945,0.7921,0.46964,1.29819,0.79469,1.35116,0.000105915,0.000105915,0.000105915
16,38013.3,0.90066,0.66101,1.1254,0.88453,0.71394,0.79838,0.46848,1.31588,0.77155,1.36784,8.88375e-05,8.88375e-05,8.88375e-05
17,40029.1,0.88484,0.63559,1.1114,0.87889,0.73858,0.81354,0.47395,1.32818,0.76931,1.36448,7.176e-05,7.176e-05,7.176e-05
18,42065.9,0.86125,0.61954,1.10197,0.90943,0.7121,0.80226,0.46945,1.31425,0.76462,1.36364,5.46825e-05,5.46825e-05,5.46825e-05
19,44103.5,0.85105,0.60423,1.09424,0.88914,0.7112,0.79647,0.46248,1.31163,0.75076,1.36997,3.7605e-05,3.7605e-05,3.7605e-05
20,46145.5,0.83362,0.58845,1.08369,0.86618,0.74581,0.8133,0.47942,1.29955,0.73316,1.35053,2.05275e-05,2.05275e-05,2.05275e-05
